# Pin Out For ECP5UM-25,,,,,,,
# Revision 1.0,,,,,,,
"# Revised Nov. 2, 2015",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,VCC,-,-,-,-,-,J4
0,VCC,-,-,-,-,-,M4
0,VCC,-,-,-,-,-,J5
0,VCC,-,-,-,-,-,P7
0,VCC,-,-,-,-,-,D8
0,VCC,-,-,-,-,-,D9
0,VCC,-,-,-,-,-,P9
0,VCC,-,-,-,-,-,D10
0,VCC,-,-,-,-,-,D11
0,VCC,-,-,-,-,-,P11
0,VCC,-,-,-,-,-,J14
0,VCC,-,-,-,-,-,J15
0,VCC,-,-,-,-,-,M15
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,E6
0,VCCAUX,-,-,-,-,-,N6
0,VCCAUX,-,-,-,-,-,E13
0,VCCAUX,-,-,-,-,-,P13
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
